Numb,manufacturer,oldmodel,newmodel
0,acura,ilx,ilx
1,acura,ilx 2.0l sedan 4d,ilx
2,acura,ilx premium pkg sedan 4d,ilx
3,acura,ilx sedan 4d,ilx
4,acura,mdx,mdx
5,acura,mdx advance pkg sport,mdx
6,acura,mdx sh-awd sport utility,mdx
7,acura,mdx sh-awd w/technology,mdx
8,acura,mdx sport utility 4d,mdx
9,acura,mdx technology pkg sport,mdx
10,acura,rdx,rdx
11,acura,rdx advance pkg sport,rdx
12,acura,rdx sh-awd a-spec pkg,rdx
13,acura,rdx sh-awd sport utility,rdx
14,acura,rdx sport utility 4d,rdx
15,acura,rdx technology pkg sport,rdx
16,acura,rl,rl
17,acura,tl,tl
18,acura,tl sedan 4d,tl
19,acura,tlx,tlx
20,acura,tlx 3.5 sedan 4d,tlx
21,acura,tlx 3.5 w/technology pkg,tlx
22,acura,tsx,tsx
23,acura,tsx sedan 4d,tsx
24,alfa-romeo,romeo giulia,Giulia
25,alfa-romeo,romeo giulia sedan 4d,Giulia
26,alfa-romeo,romeo giulia ti sedan 4d,giulati
27,alfa-romeo,romeo stelvio,stelvio
28,alfa-romeo,romeo stelvio sport suv 4d,stelvio
29,alfa-romeo,romeo stelvio sport utility,stelvio
30,alfa-romeo,romeo stelvio ti sport,stelvio
31,audi,a3,a
32,audi,a4,a
33,audi,a4 allroad premium plus,a
34,audi,a4 allroad premium wagon 4d,a
35,audi,a4 quattro,a
36,audi,a4 ultra premium sedan 4d,a
37,audi,a5,a
38,audi,a6,a
39,audi,a6 2.0t premium plus sedan,a
40,audi,a6 2.0t premium sedan 4d,a
41,audi,a6 3.0t premium plus sedan,a
42,audi,a6 3.0t prestige sedan 4d,a
43,audi,a6 45 tfsi premium plus,a
44,audi,a7,a
45,audi,a8,a
46,audi,q3,q
47,audi,q5,q
48,audi,q5 3.0t premium plus sport,q
49,audi,q5 premium sport utility 4d,q
50,audi,q7,q
51,audi,q8 premium sport utility 4d,q
52,audi,s4,s
53,audi,s5,s
54,audi,s5 premium plus convertible,s
55,audi,s5 premium plus coupe 2d,s
56,audi,s5 premium plus sedan 4d,s
57,audi,s5 prestige coupe 2d,s
58,audi,sq5,s
59,audi,tt,t
60,bmw,1 series 128i coupe 2d,Series
61,bmw,1 series 135i convertible 2d,Series
62,bmw,3 series,Series
63,bmw,3 series 328i,Series
64,bmw,3 series 328i xdrive,Series
65,bmw,3 series 330i xdrive sedan,Series
66,bmw,3 series 340i sedan 4d,Series
67,bmw,3-series,Series
68,bmw,320i,Series
69,bmw,325i,Series
70,bmw,328i,Series
71,bmw,328i xdrive,Series
72,bmw,328xi,Series
73,bmw,330i,Series
74,bmw,330xi xdrive awd sport sedan,Series
75,bmw,335i,Series
76,bmw,4 series,Series
77,bmw,4 series 430i convertible 2d,Series
78,bmw,4 series 440i xdrive gran,Series
79,bmw,430i,Series
